aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Label,
-0.02,0.04,1.01,-0.06,0.12,-0.18,-36,38,28,1,
-0.02,0.04,1.01,-0.06,0.12,-0.24,-37,36,31,1,
-0.02,0.04,1.01,0.06,-0.06,-0.12,-39,39,33,1,
-0.02,0.04,1.01,-0.06,0,-0.18,-38,37,32,1,
-0.02,0.04,1.01,0,0.12,-0.18,-38,38,29,1,
-0.02,0.04,1.01,0.06,0,-0.06,-38,38,30,1,
-0.02,0.04,1.01,0.06,0.12,-0.06,-39,38,32,1,
-0.02,0.04,1.01,0.06,0.18,-0.12,-36,40,31,1,
-0.02,0.04,1.01,0,0.12,-0.18,-36,40,32,1,
-0.02,0.04,1.01,0,0.06,-0.12,-38,41,35,1,
-0.02,0.04,1.01,0.06,0.06,-0.18,-36,40,30,1,
-0.02,0.04,1.01,0.12,0.43,0,-39,38,32,1,
-0.02,0.04,1.01,0.06,0.24,-0.18,-38,38,33,1,
-0.02,0.04,1.01,-0.06,0.12,-0.18,-38,40,37,1,
-0.02,0.04,1.01,0,0.06,-0.18,-37,38,31,1,
-0.02,0.04,1.01,0,0.12,-0.12,-37,39,37,1,
-0.02,0.04,1.01,0,0.06,-0.18,-38,38,27,1,
-0.02,0.04,1.01,0,0.12,-0.12,-38,39,30,1,
-0.02,0.04,1.01,0,0,-0.06,-39,35,36,1,
-0.02,0.04,1.01,0.12,0.12,-0.06,-39,38,30,1,
-0.02,0.04,1.01,0.06,0.24,-0.12,-38,36,32,1,
-0.02,0.04,1.01,0,0.12,-0.06,-39,39,31,1,
-0.02,0.04,1.01,0.06,0.18,-0.18,-37,40,34,1,
-0.02,0.04,1.01,0,0.12,-0.12,-39,38,33,1,
-0.02,0.04,1.01,0,0.12,-0.18,-38,38,32,1,
-0.02,0.04,1.01,-0.06,0.18,-0.18,-35,37,32,1,
-0.02,0.04,1.01,-0.06,0.06,-0.12,-37,38,34,1,
-0.02,0.04,1.01,0,0.06,-0.12,-41,39,33,1,
-0.02,0.04,1.01,0,0.12,-0.18,-38,37,31,1,
-0.02,0.04,1.01,-0.06,0.06,-0.18,-38,38,32,1,
-0.02,0.04,1.01,-0.06,0.06,-0.06,-39,38,34,1,
-0.02,0.04,1.01,0,0.12,-0.24,-38,39,31,1,
-0.02,0.04,1.01,0.06,0.12,-0.12,-38,38,34,1,
-0.02,0.04,1.01,-0.06,0.12,-0.12,-37,38,29,1,
-0.02,0.04,1.01,0,0.06,-0.06,-38,37,36,1,
-0.02,0.04,1.01,0,0.18,-0.18,-39,38,30,1,
-0.02,0.04,1.01,0,0.06,-0.06,-39,36,28,1,
-0.02,0.04,1.01,0.06,0,-0.06,-38,38,31,1,
-0.02,0.04,1.01,-0.06,0.12,-0.12,-37,38,31,1,
-0.02,0.04,1.01,0,0.12,-0.18,-36,38,29,1,
-0.02,0.04,1.01,-0.06,0.06,-0.18,-39,37,34,1,
-0.02,0.04,1.01,0.06,0.06,-0.12,-38,38,34,1,
